type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
"2,4-Dichlorophenoxy acetic acid",Phanerochaete chrysosporium 787,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,41.7%,Gas chromatography analysis performed
"2,4-Dichlorophenoxy acetic acid",Schizophyllum commune,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,32.6%,Gas chromatography analysis performed
"2,4-Dichlorophenoxy acetic acid",Lenzites eximia,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,39.0%,Gas chromatography analysis performed
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,1 day,not specified,not specified,"LiP production: 30 U/ml, MnP production: 0.01 U/ml, AAO production: 36 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,2 days,not specified,not specified,"LiP production: 39 U/ml, MnP production: 0.02 U/ml, AAO production: 75 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,3 days,not specified,not specified,"LiP production: 53 U/ml, MnP production: 0.03 U/ml, AAO production: 88 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,4 days,not specified,not specified,"LiP production: 64 U/ml, MnP production: 0.04 U/ml, AAO production: 109 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,5 days,not specified,not specified,"LiP production: 87 U/ml, MnP production: 0.05 U/ml, AAO production: 120 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,6 days,not specified,not specified,"LiP production: 126 U/ml, MnP production: 0.07 U/ml, AAO production: 137 U/ml"
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,7 days,not specified,not specified,"LiP production: 163 U/ml, MnP production: 0.09 U/ml, AAO production: 159 U/ml"
