type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,type of bacteria,concentration of bacteria
Congo Red,Pha. chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Gill et al.,,
Reactive Orange 16,Irpex lacteus,not specified,not specified,not specified,not specified,not specified,not specified,up to 80%,reported by Svobodová et al.,,
Congo Red,Ganoderma lucidum,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,reported by Jayasinghe et al.,,
Blue 21,Fusarium oxysporum,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Fusarium spp.,,
Malachite Green,Aspergillus flavus,not specified,not specified,not specified,not specified,not specified,not specified,not specified,intermediate metabolites identified,,
Reactive Red 31,Aspergillus bombycis,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Aspergillus spp.,,
Reactive Orange 16,Ganoderma spp.,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Ganoderma spp.,,
Cresol Red,Absidia spinosa,not specified,not specified,not specified,not specified,not specified,not specified,up to 65%,reported by Absidia spinosa,,
Navy Blue,Trichosporon beigelii,not specified,not specified,static,not specified,not specified,not specified,not specified,reported by Trichosporon spp.,,
Reactive Black 5,,not specified,,agitation,37°C,not specified,7.0,not specified,reported by Pseudomonas spp.,Pseudomonas aeruginosa,not specified
Acid Orange 7,,100 mg/L,,not specified,not specified,not specified,not specified,not specified,reported by Shewanella spp.,Shewanella oneidensis,not specified
