type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
orange II,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
azure B,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
tropaeolin O,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
Congo red,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
amaranth,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
orange G,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures
"4-amino-1,1'-azobenzene-3,4'-disulfonic acid",Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized,Ligninolytic cultures
sulfanilic acid,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized,Ligninolytic cultures
guiacol conjugates,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized more readily,Ligninolytic cultures
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,23-48% mineralized,nitrogen-limited ligninolytic cultures
